commenttext,classification
if we have not already named an xml file it get antlib xml,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
"""""",0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
convert from a package to a path,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
here if there is an error,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
add null entry for any additional slot required,0
iterator through all the file and process them,0
let 's be nice with the next generation of developer,0
fill in args,0
make the spawned process run second,0
two map are used to track local dtds that will be used in case the remote copy of these dtds can not be accessed the key for the map is the dtds public id and the value is the local location for the dtd,0
catalog catalog catalog catalog,0
always trigger file mode if command are big enough,0
is the zip file in the cache,0
without closure we may delete an inner class but not the top level class which would not trigger a recompile,0
fall through,0
iterate through the ref list generate an entry for each or just rely on the fact that the tostring operator doe this but noting that the separator is on window on unix,0
log at a lower level,0
read the constant pool in and resolve it,0
but for big operation we save all the params to a temp file and set tmpfile a the command then we remember to delete the tempfile afterwards,0
we get the root class and build up a set of class upon which they depend,0
bail on no reference,0
now run the command of exe setting file,0
add those that are set and a delimiter,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
store the token just read for next time,0
this hashtable maintains a list of ejb class file processed by the ejbc utility both source class file a well a stub and skeleton the key for the hashtable is a string representing the path to the class file relative to the destination directory the value for the hashtable is a file object which reference the actual class file,0
ignore the problem,0
directory where source ejb file are stored and where stub and skeleton will also be written,0
trick to evoke basedir not set if null,0
first off make sure that we 've got a command and a vssdir and a label,0
catalog catalog catalog,0
ejb 's display name ejb 's home interface name ejb 's remote interface name ejb 's implementation class ejb 's primary key class or stateful or stateless doe this ejb support cmp \? doe this ejb support iiop \? doe this ejb require failover \? cmp descriptor list,0
no source nothing to compare no target nothing to delete,0
validates url,0
check the timestamp on the remote interface,0
since the descriptor read properly everything should be o k,0
check the timestamp on the home interface,0
client jar file,0
member,0
if an explicit securitypolicy file wa specified it maybe an absolute path use the project to resolve it,0
check the timestamp of the primary key class,0
descriptorname example orgobjectwebfooapplifoofoo ejb jar xml example orgobjectwebfooapplifoofoo xml jonas convention,0
bail out early if there were no file,0
"""""",0
now scan the hashtable and add the file,0
have to catch this because of the semantics of calling main,0
list of all stub skels earliest mod time ha each been found \?,0
additionalargs,0
rebuild unless the dest file is newer than the source file,0
ejb jar file,0
public private family assembly family and assembly family or assembly private scope,0
"""""",0
member,0
class name search in the classpath provided for the ejbjar element,0
loop through each stubskeleton class that must be generated and determine if all exist which file ha the most recent timestamp,0
the new value this need to be here because it is required to calculate the next position to search from at the end of the loop,0
add each stubskeleton class to the list of ejb file note that each class is added even if it doe not exist now,0
empty,0
if we are a reference create a path from the reference,0
lastly create file object for the jar file if we are using a flat destination dir then we need to redefine basename !,0
keep track of the oldest modification timestamp,0
rfc s header field are not required to occur in any particular order except that the message body must occur after the header the same section specifies a reccommended order which we ignore,0
end of ejbinfo inner class,0
need to close file and perhaps rename output,0
checkstyle visibilitymodifier off bc checkstyle constantnamecheck off bc,0
stub is derived from implementation tie from interface name,0
filename of the standard ejb descriptor and the ia specific descriptor,0
update with changed bean class,0
this loop run parallel to the build,0
get the filename of vendor specific descriptor,0
check that dir and src are incompatible,0
now that we have the weblogic descriptor we parse the file to find other descriptor needed to deploy the bean this could be the weblogic cmp rdbms xml or any other or mapping tool descriptor,0
end of classname inner class,0
available specification version must be required,0
stream to read and redirect to standard output,0
are any of the above out of date we find the implementation class and see if they are older than any of the above or the ser file itself,0
end of redirectoutput inner class,0
checkstyle visibilitymodifier on,0
value of the display name element read from the standard ejb descriptor,0
empty,0
parse the classpath into it 's individual element and store the result in the classpathelements instance variable,0
filename of the standard ejb descriptor which is passed to this class from the parent ejbjar task and the ia specific ejb descriptor whose name is determined by this class both filename are relative to the directory specified by the srcdir attribute in the ejbjar task,0
can throw the same exception if there is no this project ctor,0
warning we trim the value of all the attribute because some extension declaration are badly defined ie have space after version or vendorid,0
if the d flag is not specified use the working directory a the destination directory,0
implementation version must be required,0
check that reference zipfilesets can not have specific attribute,0
change this to get the object from the other reference,0
the ejb information is gathered from the standard xml ejb descriptor and the ia specific xml ejb descriptor using a sax parser,0
simplest constructor us default encryption algorithm and compression level,0
if this is a standard ejb descriptor we are looking for one set of data while if this is an ia specific descriptor we 're looking for different set of data hand the processing off to the appropriate method,0
the trick to integrating test output to the formatter is to create a special test class that asserts an error and tell the formatter that it raised,0
we do not have any more args to recognize !,0
this comment extract from junit task may also apply here in vm is not very nice since it could probably hang the whole build imho this method should be avoided and it would be best to remove it in future version tbd sba,0
if it 's no other arg it may be the target,0
remove the class,0
keep track of what operating system are supported here,0
key to optional attribute,0
a special parent loader which is not the system class loader,0
pre ant this method used to call getclass getresource while ant will call classloader getresource the difference is that class getresource expects a leading slash for absolute resource and will strip it before delegating to classloader getresource so we now have to emulate class 's behavior,0
check that a reference zipfileset get the same attribute a the original,0
null watchdog mean no timeout you 'd better not check with null,0
class bft,0
do nothing,0
below are getter 's and setter 's for each of the instance variable note that in addition to supporting setter with the same type a the instance variable a setter is provided with take a string argument this are provided so the xml document handler can set the ejb value using the string it par,0
pr,0
xsltprocess,0
do nothing,0
add file xxxxx to the commandline,0
create an instance of the rmic,0
clientname ejbjarfile client jar,0
not necessary a jdepend would fail but why loose some time \?,0
end of else,0
not necessary a jdepend would fail but why loose some time \?,0
ejb jar file,0
self describing a of junit but trim classname,0
the timestamp of the newest class timestamp for a given class file for the remote interface class file for the home interface class file for the ejb implementation class file for the ejb primary key class,0
pre ant this method used to call getclass getresource while ant will call classloader getresource the difference is that class getresource expects a leading slash for absolute resource and will strip it before delegating to classloader getresource so we now have to emulate class 's behavior,0
fully qualified name of the java class name of the package for this class name of the class without the package,0
ignored,0
ejb jar file,0
if there is a suite method available then try to extract the suite from it if there is an error here it will be caught below and reported,0
client jar file,0
numberformatexception or arrayoutofbondsexception could happen here,0
client jar file,0
ignore it,0
make sure it 's not a directory this fall into the ultra paranoid let check everything category,0
to remove directory start by the end of the list the trunk doe not let itself be removed before the leaf,0
use a system manager that prevents from system exit,0
throw exception on error except up to date when a server is down the code expects perforce client error connect to server failed check p port tcp connect to localhost failed connect localhost connection refused some form producing command p s change o do tag the output others do not others mark error a info for example edit a file which is already open for edit just look for error catch most thing,0
have to catch this because of the semantics of calling main,0
we mark the file to be deleted on exit the alternative would be to cache the filename and delete after execution finished which is much better for long lived runtimes though spawning complicates thing,0
if the element start with the configured prefix then convert the prefix to the configured 'to value,0
we try to update the status once to give starteam another chance,0
currently we deal with only two path format unix and window and unix is everything that is not window,0
checkstyle visibilitymodifier on,0
classpath,0
if we find a file attribute then act on a file otherwise act on a project,0
"""""",0
if we displayed the project view item type or folder then show the list of relevant item property,0
"""""",0
create a variable dir that contains the name of the starteam folder that is the root folder in this view get the default path to the current view,0
genic option,0
path containing one or more element,0
have to catch this because of the semantics of calling main,0
we want to display the folder the same way you would enter it on the command line so we remove the view name which is also the name of the root folder and therefore show up at the start of the path,0
may be altered in validatesetup may be altered in validatesetup,0
catch everything some of the above return null throw exception or generally misbehave in the event of a problem etc,0
"""""",0
path to the sourceoffsite home directory homeuser so,0
other option,0
special setter for the sub class,0
"""""",0
login info is required,0
validate our setup,0
special setter for the sub class,0
genic option setter,0
there is a bug in javasound jdk beta it prevents correct termination of the vm so we have to exit ourselves,0
checkstyle visibilitymodifier on,0
check if source is a directory,0
get the list of path component in canonical form,0
if the file doe not pas the includeexclude test skip it,0
i ignore all error vd,0
only track progress for file larger than kb in verbose mode,0
jonas specific descriptor deployment,0
if the file doe not pas the includeexclude test skip it,0
apply the path prefix map,0
note it 's important to scan the item before we make the unmatchedfilemap because that creates a bunch of new folder and file unattached to repository and we do not want to include those in our traversal,0
now convert the path and file separator character from the current o to the target o,0
only track progress for file larger than kb in verbose mode,0
securitymanager can not be installed here for backwards compatibility reason pd need to be loaded prior to ant class if we are going to implement it system setsecuritymanager new noexitsecuritymanager,0
since filesize keep on decreasing we have to store the initial filesize,0
security,0
jdk usage command line say that jar must be the first option a there is a bug in jdk that force the jvm type to be specified a the first option it is appended here a specified in the doc even though there is in fact no order,0
nothing specified fail,0
default behavior is to fail on an error default behavior is to not overwrite default behavior is make a single link,0
check that dir and src are incompatible,0
note it 's important to scan the item before we make the unmatched file map because that creates a bunch of new folder and file unattached to repository and we do not want to include those in our traversal,0
note i 'm using ! to see if we got a new object back from the apply method,0
default value for attribute,0
jonas specific dd true if the jonas convention is used for the dd directory path of the ejb descriptor ejb descriptor file name filename appearing before name terminator filename appearing after the name terminator,0
once we find a folder that is not in the repository anything below it can be deleted,0
input file to process by genic,0
rfc s from header must be sent we rely on error checking by the mta,0
place the result into the specified property unless setonempty false,0
build the command line from what we got the format is s checkout v item g c h i n o r v y \? a specified in the s exe help,0
we applied one so we 're done,0
not a class file or the one we 'd generate,0
basenameterminator not found the descriptor use the jonas naming convention ie foo xml jonas foo xml and not foo ejb jar xml foo jonas ejb jar xml,0
we have the loader which is being used to load the catalogresolver can it see the apacheresolver \? the base resolver will only be able to create the apacheresolver if it can see it doe not use the context loader,0
"""""",0
following block contains unrolled code which could be shortened by coding it in additional loop,0
determine the separator string the dirsep and pathsep attribute override the targetos setting,0
checkstyle visibilitymodifier on,0
override with pathsep,0
checkstyle visibilitymodifier on,0
override with dirsep,0
checkstyle visibilitymodifier on,0
"""""",0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
at least one constructor is guaranteed to be there but check anyway,0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
get the value of the tag only the first occurrence,0
quick return directory can not be signed,0
weblogic ejb utils ddcreator main args,0
now check each resource in case the child only let through file from any child it may have,0
"""""",0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
other option setter,0
write namespace declaration,0
other method,0
no op,0
check if used by attribute,0
find the out of date target,0
the method deleteonexit do not work because the directory is not empty,0
no op,0
create the generic jar first,0
no need to synchronize a vector is always synchronized,0
\? is there an xml api for this \?,0
notreached,0
genic call on generic jar,0
fall through,0
create the real jar,0
extrapolating from netware may have a java in that directory but of the time you do not want to execute it jeff tulley,0
only property specified fail,0
notreached,0
check that dir and src are incompatible,0
treat non matching group a empty match,0
attribute,0
record destdir for later use in getresource,0
extract path info,0
if it doe not then the file is not up to date,0
check that something which is not a testcase generates no error at first even though this is incorrect,0
treat non matching group a empty match,0
descriptorname is just a file without path,0
eliminate consecutive slash after the drive spec,0
attribute set by the ant build file,0
check to see if it 's an inner class 'com company class inner,0
create the zip entry and add it to the jar file,0
a byte block header the value chosen arbitrarily a x a bit value doe not really give a strong enough guarantee that the value will not appear by chance in the compressed datastream worst case probability of this event for a k block is about e for bit e for bit and e for bit for a compressed file of size gb about block only a bit marker will do nb normal compression decompression do not rely on these statistical property they are only important when trying to recover block from damaged file,0
constructor initializers,0
how to handle non file resource \? i copy temporarily the resource to a file and use the file implementation,0
check for the odd case where the terminator andor filename extension are not found these will ensure jonas appears at the end of the name and before the if present,0
bsbuffshadow bsliveshadow,0
no found,0
mac doe n r but that 's tough to distinguish from window r n r n do not tackle that problem right now,0
accessor method,0
the clean way would be to throw an exception throw new ioexception crc error,0
try to find jonas specific convention name,0
byte byte byte byte,0
else get standard basename,0
make sure the cache is cleared,0
validate mandatory attribute,0
step now scan this big bucket so a to synthesise the sorted order for small bucket t s for all t ! s,0
jonasroot,0
complete the big bucket s by quicksorting any unsorted small bucket s j hopefully previous pointer scanning phase have already completed many of the small bucket s j so we do not have to sort them at all,0
translate period into path separator add class to the name create the file object and add it to the hashtable,0
setting up the unzftab entry here is not strictly necessary but it doe save having to do it later in a separate pas and so save a block 's worth of cache miss,0
retrive the file to be added to jar from ejb descriptor,0
pr,0
java policy file,0
pr,0
check that fullpath and prefix are incompatible,0
fall through,0
add the type of the parent project,0
pr,0
the property attribute must have access to a property file,0
ignore,0
outputdir,0
if either of them is missing they are different,0
work around a bug of genic,0
promised to eliminate consecutive slash after drive letter,0
make sure property exists in property file,0
all character in the string are used check if only 's are left in the pattern if so we succeeded otherwise failure,0
classpath,0
if we followed the symlink we just made we should bypass the excludes,0
check to see if we need a build and start doing the work !,0
after loading the cache is up to date with the file,0
parse the ejb deployment descriptor while it may not look like much we use a saxparser and an inner class to get hold of all the classfile name for the descriptor,0
invoked by introspectionhelper for setxxx path p attribute setter param p the project for this path param path the string path definition,0
try to create the classpath for the correct orb,0
now any assertion are added,0
avoid runtime problem on pre when compiling post,0
creation is done here rather than in isselected because some container may do a validation pas before running isselected but we need to check for the existence of the created class,0
keepgenerated,0
process pattern between star padidxstart and patidxend point always to a ``,0
nocompil,0
the enumeratedattributes for the three interface implementation name classname mapping is done in the configure method,0
end of finally,0
buildlistener interface method,0
novalidation,0
set the special attribute pattern,0
javac,0
use cache defined via name,0
tell the build it is finished,0
get the value and do the comparison,0
an antclassloader which is supposed to delegate to the parent and then to the disk path,0
should the following two be switched \? if r and r refer to the same file is not their content equal regardless of whether that file is a directory \?,0
only file specified fail,0
additional,0
resource doe not exist property 'test null,0
because the content is only read the file will not be damaged i tested with jpg zip and pdf a binary file,0
try a netware volume length path see how it is handled,0
log uptodateness of all target,0
expecting an exception to be thrown by this call illegalargumentexception wrong number of argument,0
can not return a null source because we have to call setentityresolver see setentityresolver javadoc comment,0
javacopts,0
determine the java version by looking at available class java net proxy wa introduced in jdk java lang charsequence wa introduced in jdk java lang strictmath wa introduced in jdk java lang threadlocal wa introduced in jdk java lang void wa introduced in jdk count up version until a noclassdeffounderror end the try,0
rmicopts,0
last character is not a digit,0
look for and print warning,0
fall back to jre bin directory also catch jdk and where java home point to the root of the jdk and mac o x where the whole directory layout is different from sun 's,0
check that an exception in the constructor is noticed,0
now wait until the spawned process is finished,0
use the classloader that loaded this class otherwise it will not be able to run inner class if this test is ran in non forked mode,0
ignore expected,0
secpropag,0
at this point the path are set up with list of file and the mapper is ready to map from source dirs to dest file now we iterate through every jar giving source and dest name deal with the path,0
verbose,0
zipoutputstream putnextentry expects the zipentry to know it size and the crc sum before you start writing the data when using stored mode unless it is seekable this force u to process the data twice,0
set up a sosget task,0
depending on the implementation the actual re will not get instantiated in the constructor,0
we need to search the component of the path to see if we can find the class we want,0
reflection problem \? should not happen debug,0
calling genic task,0
make sure we are dealing with an absolute path,0
the the weblogic cmp deployment descriptor,0
magic property,0
try to use the compiler specified by build compiler right now we are just going to allow jikes,0
extra field,0
check that reference tarfilesets can not have specific attribute,0
ignore,0
and add any file if also defined,0
pr,0
object class changed update it,0
add an extra slash for filesystems with drive specifier,0
use fle from original weblogic jar,0
basenameterminator not found the descriptor use the jonas naming convention ie foo xml jonas foo xml and not foo ejb jar xml foo jonas ejb jar xml,0
weblogic ejbc main args,0
build the command line from what we got the format is s create v item c h i n o s y \? a specified in the s exe help,0
build and populate an instance of the ejbc utility,0
first off make sure that we 've got a command and a vssdir,0
we need to search the component of the path to see if we can find the class we want,0
checkstyle visibilitymodifier off bc,0
checkstyle visibilitymodifier off bc,0
default the viewpath to basedir if it is not specified,0
have to catch this because of the semantics of calling main,0
version needed to extract general purpose bit flag,0
ignore,0
use getshortlabel so label longer then char are truncated and the user is warned,0
the method deleteonexit do not work because the directory is not empty,0
v label an existing file or project version,0
jonasroot,0
make sure m localdir exists create it if it doe not,0
ignore,0
ignore,0
try a multi part netware volume length path wforward slash see how it is handled,0
do nothing by default,0
try and load from this loader if the parent either did not find it or wa not consulted,0
this is the classname to run a well a it argument in case of 'executejar the executable is a jar file,0
genic task genic class are supported for various version,0
bootclasspath is xbootclasspath arg,0
javac,0
if you do not do this you get all sort of annoying warning about a missing property file however it seems to work just fine with default value ultimately we should probably include a catalogmanager property file in the ant jarfile with some default property setting see catalogmanager java for more detail,0
additionalargs,0
this loop is hammered during decompression hence avoid native method call overhead of system arraycopy for very small range to copy,0
checkstyle visibilitymodifier on,0
do nothing,0
is the ser file or any of the source file newer then the class file firstly find the oldest of the two class file,0
now recover all the dependency collected and add to the list,0
regardless of the name of the ia specific ejb descriptor file it will written in the completed jar file a ia ejb jar xml this is the naming convention implemented by ia,0
build the list of source which are out of date with respect to the target,0
this loader wa first but it did not find it try the parent,0
push the current iterator onto the stack and then iterate through this directory,0
attribute,0
fill in args,0
add the generated file to the ejbfiles,0
not before the filesystem root and not after it since root already contains one,0
orb,0
can safely use `` because window understands `` a separator,0
accessor method,0
get index of part which are equal,0
"""""",0
checkstyle visibilitymodifier off bc,0
utilitary method,0
different size different file,0
check for the odd case where the terminator andor filename extension are not found these will ensure ia appears at the end of the name and before the if present,0
add the class in dotted notation 'com company class,0
dummy dummy dummy dummy,0
for all file in this folder we need to check if there have been modification,0
"""""",0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
line separator in value and token are n in order to compare with the file content replace them a needed,0
this method ha severe consequence on performance we can not rely on the super hashcode method since super getname always return the empty string in the current implemention there 's no setter so it is basically draining the performance of a hashmap lookup,0
create the parser using whatever parser the system dictate,0
byte byte,0
loop through the file each file represents one deployment descriptor and hence one bean in our model,0
do nothing,0
checkstyle visibilitymodifier on,0
compressed size,0
process the deployment descriptor in each tool,0
method,0
end of execute,0
read in the descriptor under weblogic the descriptor is a weblogic specific subclass which ha reference to the implementation class these class must therefore be in the classpath when the deployment descriptor is loaded from the ser file,0
"""""",0
last mod file time,0
ignore exception,0
external file attribute,0
resolve relative to project basedir,0
number of the disk with the,0
check if list of file to check ha been specified,0
ignore the problem,0
get the filename into a string object,0
empty path return empty string,0
no error so far,0
swallow throw the original exception instead,0
then the toplink deployment descriptor,0
checkstyle visibilitymodifier on,0
setup a naming standard here \?,0
do not use a fileresource bc it pull file info from the filesystem,0
resource doe exist property 'test 'true,0
total number of entry in,0
try a netware volume length path wforward slash see how it is handled,0
we did not match a resourcelocation but since we only support public and uri entry type internally it is still possible that there is another entry in an external catalog that will match we call apache resolver 's resolveentity method to cover this possibility,0
"""""",0
preserve order encountered using a list enforce set logic manually,0
plain impossible,0
total number of entry in,0
get all the file in the descriptor directory,0
log security exception and continue it aint that important and may be quite common running ant embedded,0
if we still can not find it complain,0
tt length should always be length but theoretically it can happen if the compressor mixed small and large block normally only the last block will be smaller than others,0
set up a soscheckout task,0
deprecated but email is byte oriented,0
we must check if the process wa not stopped before being here,0
note we have fit eof and the block is not full ! this is a broken archive it doe not follow the standard blocking algorithm however because we are generous and it requires little effort we will simply ignore the error and continue a if the entire block were read this doe not appear to break anything upstream we used to return false in this case thanks to 'yohann roussel alcatel fr for this fix,0
ok property file may be absolute,0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
do we need to regenerate the file,0
write bit,0
have to catch this because of the semantics of calling main,0
make next block readable without error repair feature not yet documented not tested,0
delegate to the parent,0
inlined bsw len selctr sfmap i xff code selctr sfmap i,0
the process is not terminated if this is really a timeout and not a manual stop then kill it,0
set default value,0
there wa an exception run with no exit to get proper error,0
nothing specified use default,0
weblogic ejb utils ddcreator main newargs,0
no op,0
core main body,0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
end class manifestclasspathtest,0
check for bsf first then javax this version doe not check if the scriptmanager support the language,0
dummy dummy dummy dummy,0
checkstyle visibilitymodifier on,0
classloader this parent is already delegated to from classloader getresources no need,0
when using this a a custom selector this method will be called it translates each parameter into the appropriate setxxx call param parameter the complete set of parameter for this selector,0
get the recorder entry,0
checkstyle visibilitymodifier on,0
i assume that starting this take le than time out m,0
we did not match a resourcelocation but since we only support public and uri entry type internally it is still possible that there is another entry in an external catalog that will match we call apache resolver 's resolveentity method to cover this possibility,0
file other then class changed rebuild,0
checkstyle visibilitymodifier on,0
create the generic jar if required,0
create the command to run java including user specified option,0
cycle through generic and make sure it in websphere,0
get method instance for each of the method we need to call on the resolverimpl using reflection we can not call them directly because they require on the xml common resolver library which may not be available in the classpath,0
available specification version must be required,0
use the passed in base in preference to the base from matchingentry which is either null or the directory in which the external catalog file from which it wa obtained is located we make a copy so matchingentry 's original base is untouched this is the standard behavior a per my reading of the jaxp and xml catalog spec cks,0
this available optional package satisfies the requirement,0
build the command line from what we got the format is s add v item b c d h i k n o r w y \? a specified in the s exe help,0
add it to list of file in jar,0
because of the way i create the full target path there must be no slash at the end of targetfolder and foldername however if the slash or backslash is the only character leave it alone,0
set the value on the recorder,0
connect to the starteam server and log on,0
ignore path element which are not valid relative to the project,0
okay we have a copy of the child now the child becomes the parent and we are iterating recursively over it child,0
checkstyle membernamecheck on,0
getproject log listing file in directory directory project msg debug,0
load default locale bundle file using default file encoding scheme,0
see wraplistener for reason,0
normal case,0
quick return no output do nothing,0
inner class,0
if we get here it could be because we are trying to put a directory entry that already exists for example we 're trying to write com but a previous entry from another mergefile wa called com in that case just ignore the error and go on to the next entry,0
if it 's a primitive wrapper then we should not try and put it into the jar so ignore it,0
first some note on mrj getting the size compressed size and crc from the zipinputstream doe not work for compressed deflated file those call return for uncompressed stored file those call do work however using zipfile getentries work for both compressed and uncompressed file now from some simple testing i did it seems that the value of crc is independent of the compression setting so it should be easy to pas this information on to the output entry,0
create a recorder entry,0
not necessary a jdepend would fail but why loose some time \?,0
weblogic will throw an error if the deployment descriptor doe not match the class file,0
create the output jar if required,0
if all resource file associated with this bundle have been scanned for and still not able to find a single resrouce file throw exception,0
for the genericdeploymenttool do nothing vendor specific subclass should throw a buildexception if the configuration is invalid for their server,0
we found a starttoken is there an endtoken following \? start at token tokenlength because start and end token may be indentical,0
classpath add at the end of the classpath the system classpath in order to find the tool jar file,0
create the file input stream and buffer everything over to the jar output stream,0
check the timestamp on the ejb implementation class note that if only the implementation class ha changed it 's not necessary to rebuild the ejb stub and skeleton for this reason we ensure the file exists using lastmodified above but we do not compare it 's timestamp with the timestamps of the home and remote interface because it 's irrelevant in determining if ejbc must be run,0
class doe not exist property 'test null,0
execute the ejbc utility stubsskeletons are rebuilt if needed,0
dummy dummy dummy dummy,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
inverted,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
read the checksum from disk,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
close up the file input stream for the class file,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
register any dtds supplied by the user,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
a separate directory wa explicitly declared,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
none to register for generic,0
get all the file in the descriptor directory,0
give it some time to display,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
construct the url debug portion of the commmand line,0
had to make two separate command here because if a space is inserted between the flag and the value it is treated a a window filename with a space and it is enclosed in double quote this break clearcase,0
setget method,0
we create a fileset with the source file this let u combine our logic for handling output directory mapping etc,0
add any support class specified in the build file,0
if input file are specified inputstring and inputstream are ignored class that work with redirector attribute can enforce whatever warning are needed,0
already defined,0
checkstyle visibilitymodifier on,0
empty statement,0
override the logging of output in order to filter out generating message generating message are set to a priority of verbose unless they appear after what could be an informational message,0
determine the jar filename without filename extension,0
locate the auxiliary script,0
default to the global setting and then see if this class belongs to a package which ha been designated to use a specific loader first this one or the parent one,0
protected and private method,0
load command line with optional attribute,0
build the command,0
first the regular deployment descriptor,0
preserve permission,0
use the directory containing the target a the output directory,0
ignore and keep trying,0
can either be a property name string or a file,0
override permission if set explicitly,0
now the vendor specific file if any,0
create the directory a it might not exist,0
add any dependent file,0
calculate the total checksum convert the key source file into a sorted array,0
dummy dummy dummy dummy,0
must not use getentry a well behaving application must accept the manifest in any capitalization,0
define the package now,0
end static class templateelement,0
file is on wrong format swallow,0
default the viewpath to basedir if it is not specified,0
log that we are going to build,0
if we 're in this finally clause because of an exception we do not really care if there 's an exception when closing the stream e g if it throw zip file must have at least one entry because an exception happened before we added any file then we must swallow this exception otherwise the error that 's reported will be the close error which is not the real cause of the problem,0
private commandlinejava commandline new commandlinejava,0
work like clone but doe not show up in the javadocs,0
if there is an errorfailure and that it should halt stop everything otherwise just log a statement,0
do not have to check for public since getconstructor find public constructor only,0
use helper method to write the jarfile,0
'reasonable default if the component is used without a project for example a a standalone bean most ant component can be used this way,0
try to be smart not to be fooled by a weird directory name,0
create a new vector to avoid concurrentmodificationexc when the listener get addedremoved while we are in fire,0
log that the file is up to date,0
ignore we are interested only in the side effect that of getting the static initializers invoked a we do not want to call a valid constructor to get this side effect an attempt is made to call a hopefully invalid constructor come on nobody would have a constructor that take in string argument in fact they can not according to jvm spec section the number of method parameter is limited to by the definition of a method descriptor constructor count a method here,0
add in support class if any,0
pr,0
ioe printstacktrace,0
checkstyle visibilitymodifier off bc,0
work out what the base name is,0
checkstyle visibilitymodifier off bc,0
nothing to add for generic tool,0
checkstyle visibilitymodifier off bc,0
note could cause overlap in case classloader this parent ha match,0
checkstyle visibilitymodifier off bc,0
not significant for the class loader,0
ignore method m a there is an overloaded form of this method that take in a non string argument which gain higher priority,0
clean the addedfiles set,0
if you felt daring you could cache the basedir absolute path,0
create the stream necessary to write the jarfile,0
do nothing,0
a special parent loader which is not the system class loader,0
following could be done in a loop but unrolled it for performance,0
class doe exist property 'test 'true,0
do nothing,0
dummy dummy dummy with path a,0
do nothing,0
ignore,0
do nothing,0
get and clean up innerclass name,0
in the various block sized structure live data run from to last num overshoot byte inclusive first set up the overshoot area for block,0
see if there are any inner class for this class and add them in if there are,0
do nothing,0
loop through all the class file found and add them to the jar,0
ignore,0
not significant for the class loader,0
ignore,0
assertion take up space too,0
calculate the cost of this group a coded by each of the coding table,0
link the file,0
ignore,0
set up a vsshistory task,0
ignore,0
jl comment extracted from junittask and slightly modified,0
recompute the table based on the accumulated frequency,0
dummy dummy dummy which ha the project 's basedir a root,0
ignored,0
task type,0
ignore,0
having a space between the file and it path cause commandline to add quote around the argument thus making jdepend not taking it into account thus we split it in two,0
ignore,0
actually performs the merging of f into the output f should be a zip or jar file,0
ignore,0
add the parsed namespaces of the parent project,0
ignore,0
checkstyle visibilitymodifier off bc,0
ignore,0
weblogic jspc doe not seem to work unless u explicitly set this doe not take the classpath from the env am i missing something about the java task \? \?,0
should be the default a it integrates better in ant,0
have to catch this because of the semantics of calling main,0
ignore,0
trim the meta inf off of the file name,0
build the command line from what we got the format is cleartool checkout option viewpath a specified in the cleartool exe help,0
specified property name is true,0
used when sorting if too many long comparison happen we stop sorting randomise the block slightly and try again,0
dummy dummy dummy which ha the project 's basedir a root,0
ignore,0
close the output stream,0
ignore,0
end of writejar,0
ignore,0
only generate a new classloader if we have a classpath,0
ignore,0
simple test to ensure that the caching doe work,0
ignore,0
register all the known dtds,0
ignore,0
checkstyle visibilitymodifier on,0
ignore,0
file is comparable so sorting is trivial,0
ignore,0
try to determine it from publicid,0
ignore,0
ignore manifest entry they 're bound to cause conflict between file that are being merged user should supply their own manifest file when doing the merge,0
bsf us a hashtable to store value so can not declarebean with a null value so need to remove any bean of this name a that bean should not be visible,0
see if the file is in fact a class file and determine it actual name,0
ignore,0
need to create a generic jar first,0
ignore,0
loop over the checksum and generate a total hash,0
relative offset of lfh,0
