commenttext,classification
not stat,0
the transit ha a nam text box it contain the ev sign the guard condit between the act express the cont of the text box is gen by it own notationprovid see org argouml uml diagram ui figedgemodelel getnotationprovidertyp,0
test pass,0
see org argouml uml diagram umlmutablegraphsupport isremovefromdiagramallow collect,0
test pass,0
the sourc wa on of the ref stat 's path which ha got a new nam,0
not uml,0
upd the text label and list see org argouml uml diagram ui fignodemodelel modelchang jav bean propertychangeev,0
non ex in uml,0
specif valid el for a pack to contain,0
not in uml,0
see org argouml uml diagram ui umldiagram propertychang jav bean propertychangeev,0
not in uml,0
plac the com fig on the nicest spot on the diagram,0
not in uml,0
see org argouml uml diagram ui fignodemodelel textedit org tigr gef pres figtext,0
not in uml,0
non nl,0
return list,0
todo we do not cur hav an set that can chang on a per fig bas so we can just us the projectdiagram default set new diagramset renderset,0
see junit framework testca setup,0
specif valid el for a reg to contain,0
delet the stereotyp should cascad to the tagdefinit then the taggedvalu,0
see org argouml uml diagram stat ui figstatevertex initnotationprovid jav lang object,0
must be cal aft setimpl,0
see org argouml uml diagram ui umldiagram isrelocationallow jav lang object,0
enum field,0
see org argouml uml diagram stat structur layout classdiagramnod calculateweight,0
enum construct,0
see org argouml uml diagram stat ui figst getinitialwid,0
ind that the test wa valid,0
see org tigr gef pres fig getfillcol,0
todo look up class in tru tabl,0
list also to the assoc of which the link is an instant sint we want to upd the rend when the assoc nam chang see org argouml uml diagram ui figedgemodelel updatel jav lang object jav lang object,0
check superclass mak sur thi class doe not extend or ref non argouml class,0
valid el for a stereotyp to contain,0
enum method enum method argu,0
a list of valid connect between el the connect typ first and then the el to be connect,0
nif runtruthtest model getfacad isainteract o model getfacad interact,0
non nl,0
nif untruthtest model getfacad isamethod o model getmetatyp getmethod,0
end class wizmenam,0
runtruthtest model getfacad isarel o model getmetatyp getrel,0
specif valid el for a us cas to contain,0
nif runtruthtest model getfacad isastructuralf o model getmetatyp getstructuralf nif runtruthtest model getfacad isataggedvalu o model getmetatyp gettaggedvalu,0
see org argouml uml diagram ui abstractactioncheckboxmenuitem valueoftarget jav lang object,0
cal method that ex for al object and that alway return some mean,0
specif valid el for an op to contain,0
log log level fin getdat return rast translatedrast,0
see org argouml uml diagram ui fignodemodelel textedit org tigr gef pres figtext,0
cal method that ex for al object and that alway return some mean,0
non nl,0
find the cre method in the off ap,0
mmess,0
now get the factor impl method to be invok,0
see org argouml ui tabtarget refresh,0
her it is ano object sent to the test,0
see org argouml uml diagram ui stereotypecontain isstereotypev,0
her it is ano object sent to the test,0
see org argouml uml diagram ui fignodemodelel updatestereotypetext,0
abstract,0
non nl,0
abstract,0
rul for project root top level el todo a cur impl it return al top level el in the model repositor not just thos in a giv project sint we onl support a singl project at a tim cur thes ar equ but thi wil nee to be enh with addit bookkeep in project when we support multipl op project tfm todo i chang it to get the root from the project it wa show the profil that wer load but wer not appl to the cur project maurelio auth tom morr,0
abstract,0
list for a removeassociationev between the com and the annot el when reciev delet the commentedg and thi figedgenot see org argouml uml diagram ui figedgemodelel modelchang jav bean propertychangeev,0
mak sur we start off cle,0
see org argouml uml ui proppanel shouldbeen jav lang object,0
the assoc should hav sam namespac a from class,0
see org argouml uml diagram ui figedgemodelel texteditstart org tigr gef pres figtext,0
onl on end should be navig,0
see tudresd oc pars analys depthfirstadapt outaintegerlit tudresd oc pars nod aintegerlit,0
usecaseinst gon in uml x un by argouml,0
set up read to be first filt in chain,0
set namespac so buildassocationrol work,0
end class wiznavig,0
correct exceiv wa thrown,0
if we 're draw to an edg then onl allow if the start is a com see org argouml uml diagram ui modecreategraphedg isconnectionvalid org tigr gef pres fig org tigr gef pres fig,0
correct exceiv wa thrown,0
end class crfinalsubclass,0
correct exceiv wa thrown,0
if we 're draw to an edg then onl allow if the start is a com see org argouml uml diagram ui modecreategraphedg isconnectionvalid org tigr gef pres fig org tigr gef pres fig,0
build an act graph with a singl act stat the way the gui would,0
end class crnameconflictac,0
thi is a priv method in model,0
end class crmultipleagg,0
handl method that doe not return,0
see org argouml uml reveng importset getinputsourceencod,0
handl the isinit method,0
see org argouml ui guisettingstabinterfac gettabkey,0
handl the init method,0
see org argouml uml diagram ui figeditablecompart getumlcollect,0
handl method which return opaqu object,0
non nl,0
on of the expect er just ign,0
see org argouml uml diagram ui abstractactionradiomenuitem togglevalueoftarget jav lang object,0
could not find model,0
we should not get her but just in cas we want a wid exceiv catch to mak sur our transact alway get end,0
could not find model,0
non nl,0
handl uml metamodel which is a mof model,0
see org argouml uml diagram ui figeditablecompart getumlcollect,0
uml,0
see org argouml ui expl reloc isrelocationallow jav lang object,0
xmi,0
see org argouml uml ui abstractactionnavig navigateto jav lang object,0
uml x,0
see org argouml model modelimpl getcorehelp,0
xmi,0
the onl thing we nee to deal with is upd is the condit text see org argouml uml diagram ui figedgemodelel modelchang jav bean propertychangeev,0
onl remap pack if we did not remap spec class,0
see org argouml uml diagram ui figedgemodelel canedit org tigr gef pres fig,0
a few of our factor ar slightl diff than a decl in the uml metamodel so we remap them her,0
see org argouml kernel delayedvchangel delayedvetoablechang jav bean propertychangeev,0
pack to be remap,0
see org argouml uml diagram ui figedgemodelel getnotationprovidertyp,0
subsystem ha been remov from uml x,0
see javax swing tabl tablemodel getvalu int int,0
tri the act,0
see org tigr gef undo undoableact is,0
see junit framework testca setup,0
see org argouml uml ui behavy common behavy actionnewact createact,0
abstract,0
cas,0
abstract,0
see org argouml uml diagram ui figedgemodelel getnamefig,0
beca uml metamodel ar org diff we nee to trav the hierarch look for our own pack,0
see org argouml uml diagram ui figedgemodelel updatel jav lang object jav lang object,0
spec class to be remap remap put,0
see tudresd oc pars analys depthfirstadapt outareallit tudresd oc pars nod areallit,0
go the oth way to lookup an el by path,0
see org argouml uml reveng importcommon isminimisefigscheck,0
"""""",0
see org argouml uml reveng importsettingsintern isdescendselect,0
"""""",0
see org argouml uml reveng settingstyp booleanselect getdefaultvalu,0
"""""",0
see org argouml uml reveng importcommon isdescendselect,0
activitygraph,0
wfr transit omg uml,0
inst in uml and classif ar abstract and not test,0
see org argouml appl ap progressmonit updatesubtask jav lang string,0
extend includ usecaseinst extensionpoint not impl,0
we return a new list with the opt instead of the opt themself beca we do not want the us to be abl to chang the opt see org argouml uml reveng settingstyp uniqueselect getopt,0
reu tim ev,0
do noth,0
stat is concret in uml but becom abstract in uml so we nev allow it to be cre and do not test cre,0
see org argouml ui targetm targetl targetremov org argouml ui targetm targetev,0
new initprofilesubsystem init,0
cal connect wil ad the edg to the graphmodel and an layerpersect on that graphmodel wil get a edgead ev and wil ad an appropr figedg determin by the graphedgerend,0
thi should work now that they both hav nam,0
see org argouml ui targetm targetl targetremov org argouml ui targetm targetev,0
if method not support ign fail,0
see org argouml uml ui umluserinterfacecompon targetchang,0
fin,0
see org argouml uml ui sourcepathcontrol setsourcepa org argouml uml ui sourcepathtablemodel,0
fin,0
see org argouml uml ui abstractactionnavig navigateto jav lang object,0
transl clip graph to match reg of interest,0
see org argouml ui targetm targetl targetremov org argouml ui targetm targetev,0
see junit framework testca setup,0
sequ diagram ar not shown a child of the collab that they show but a child of the classifierop the collab repr statediagram and activitydiagram ar shown a child of the statemachin or activitygraph they belong to,0
see junit framework testca setup,0
see org argouml ui targetm targetl targetad org argouml ui targetm targetev,0
see junit framework testca setup,0
see org argouml uml ui umlcombobox umlcombobox umlcomboboxmodel act bool,0
see junit framework testca setup,0
see org argouml uml ui abstractactionnavig navigateto jav lang object,0
commonbehaviorfactor datatypesfactor extensionmechanismsfactor modelmanagementfactor,0
see org argouml uml ui umluserinterfacecontain formatcollect jav util it,0
set up al paramet som method ar invok with primit or collect so we nee to cre them accordingl,0
see org argouml uml ui abstractactionnavig navigateto jav lang object,0
the follow should fail,0
see org argouml ui targetm targetl targetad org argouml ui targetm targetev,0
and leav thing unchang,0
see org argouml uml ui umlexpressionmodel setexpress jav lang object,0
construct,0
see org argouml uml ui umluserinterfacecontain getmodelel,0
construct param me an object,0
see org argouml ui tabtarget refresh,0
every fin,0
see org argouml uml ui behavy common behavy actionnewact createact,0
every fin,0
see org argouml ui tabtarget gettarget,0
every fin,0
non nl non nl non nl,0
reu sign ev,0
see org argouml uml ui umlmodelelementlistmodel buildpopup javax swing jpopupmenu int,0
reu cal ev,0
see org argouml uml ui umlcheckbox buildmodel,0
tri cre a timeev,0
see org argouml ui targetm targetl targetremov org argouml ui targetm targetev,0
tri chang the triggertyp to changeev,0
see org argouml ui targetm targettablemodelview gettargettablemodel,0
nest class,0
see org argouml uml ui umlexpressionmodel getexpress,0
nest class,0
see org argouml ui targetm targetl targetad org argouml ui targetm targetev,0
no nee to check an furth if we fail the st part,0
see org argouml uml ui abstractactionaddmodelel getselect,0
start test stuff,0
set the stor id for our repositor so that mofid wil be un they ar compo a storageid serialnumb not the stor man onl look for a few propert nam such a the storagefactoryclassnam every el nee to be prefix with mdrstorageproperti which get delet from the propert nam bef it and it assoc valu ar cop to an intern propert tabl sep from the system propert tabl,0
tri som er,0
see org argouml uml ui umlplaintextdocu getpropert,0
for a transit us indirect through sourc statevertex,0
see org argouml uml ui umlplaintextdocu setpropert jav lang string,0
if we can not find a model return the outermost contain model el,0
see org argouml uml ui umlexpressionmodel newexpress,0
see junit framework testca setup,0
see org argouml uml ui behavy stat machin actionnewev createev jav lang object,0
see junit framework testca setup,0
see org tigr gef pres fignod getportfig jav lang object,0
every fin,0
see org argouml uml ui umlradiobuttonpanel buildmodel,0
every fin,0
see org argouml appl ap commandlineinterfac docommand jav lang string,0
every fin,0
see org argouml model modelimpl getactivitygraphshelp,0
every fin,0
see org argouml uml ui umlcheckbox buildmodel,0
not allow to ad or modif thing not remov hent thi doe noth,0
end class crcircularinherit,0
the expect exceiv is thrown,0
see org argouml uml ui umlcheckbox buildmodel,0
both diagram typ shal show sequ numb when request,0
see org argouml uml ui umlradiobuttonpanel buildmodel,0
but the collab diagram ref to leav them out,0
see org argouml uml util namespac namespac popnamespaceel,0
if the mess ha a nam but no act then show the nam,0
see org argouml uml ui umlcomboboxmodel setselecteditem jav lang object,0
if a mess ha a nam and a nam op then show the op,0
see org argouml uml ui umlcheckbox buildmodel,0
todo should ther reall be her \?,0
see org argouml model modeleventpump addclassmodeleventl jav bean propertychangel jav lang object jav lang string,0
if a mess ha a nam and a nam op and an empt script then show the op,0
see org argouml uml ui abstracttestactionadddiagram getnamespac,0
if a mess ha a nam and a nam op and a nam script with paramet then show the script,0
see org argouml model modelimpl getcopyhelp,0
todo whi is ther a spac bef the her and not in cas of the op nam \?,0
see org argouml model modelimpl getcommonbehaviorhelp,0
the act stil ha the argu from abov,0
non nl,0
thi is not a ver us transit,0
see org argouml model modelimpl getvisibilitykind,0
mix cas,0
see org argouml uml util namespac namespac isempt,0
a complex intern transit,0
see org argouml model modelimpl getpseudostatekind,0
thes ar not entryexitdo act,0
see org argouml uml ui abstracttestactionadddiagram getnamespac,0
long list of intern,0
see org argouml uml ui abstracttestactionadddiagram getact,0
or should the be \?,0
see org argouml not provid notationprovid getparsinghelp,0
delet it al,0
see org argouml model modelimpl getmessagesort,0
if ther is no script then the langu should not be maintain,0
ret setisleaf fal ret setisroot fal,0
ok,0
see org argouml model modeleventpump removemodeleventl jav bean propertychangel jav lang object jav lang string,0
ign,0
see org argouml uml diagram ui umldiagram propertychang jav bean propertychangeev,0
success expect exceiv,0
see org argouml model modelimpl getumlfactor,0
every fin,0
see org argouml model modelimpl getextensionmechanismsfactor,0
cre fil,0
see org argouml model modelimpl getmodelmanagementhelp,0
thi is the norm cas,0
overrid pur to keep our superclass from remov the list that we just ad see org argouml uml diagram ui figedgemodelel updatel jav lang object jav lang object,0
load a project which contain link to it,0
see org argouml model umlhelp mov jav lang object org argouml model umlhelp direct,0
test project read fil,0
see org argouml model modeleventpump addmodeleventl jav bean propertychangel jav lang object,0
standard uml profil,0
see org argouml model modeleventpump addmodeleventl jav bean propertychangel jav lang object jav lang string,0
cre a default profil and record it cont,0
see jav util collect contains jav util collect,0
writ the profil out to a temp fil,0
see org argouml cognit ui wizard getnumstep,0
read it back in to a new empt project,0
specif valid el for an simplest to contain,0
set up the depend profil cre,0
see org argouml model collaborationshelp getallclassifierrol jav lang object,0
act cal that execut every,0
see org argouml model commonbehaviorhelp getsourc jav lang object,0
ver,0
return the valu of an el 's propert tag valu thi method mak sur that a collect of valu is return if and onl if the propert is multivalu up multipl valu gre see org argouml model facad getvalueoft jav lang object jav lang object,0
expect,0
see org argouml model visibilitykind getpack,0
expect,0
see org argouml model pseudostatekind getjunct,0
cre profil model,0
see org argouml model directionkind getinparamet,0
cre profil model,0
see org argouml model pseudostatekind getshallowhistor,0
sav the profil into a xmi fil,0
see org argouml model copyhelp cop jav lang object jav lang object mak a cop of el in the giv namespac thi funct is a dispatch that cal the copyel el namespac funct from xxxfactori thi funct may fail and return nul for an of the follow reason no cop funct is known for el 's typ the cop funct fail or throw param anel is the el to cop param an the namespac return a cop of el or nul throw illegalargumentexceiv if el is nul,0
sav the profil into a xmi fil,0
see javax swing tre treemodel isleaf jav lang object,0
cal dur teardown,0
see org argouml uml cognit crit cruml pred jav lang object org argouml cognit design,0
cal dur teardown,0
extend but onl between two us cas rememb we draw from the ext port to the bas port,0
remov leftov from oth test,0
ther is a bug in the vert of mdr that we us that cau it to fail to delet aggreg el which ar singl valu and wher the aggreg end is list second in the assoc defin in the metamodel for the uml metamodel thi affect a statemachin 's top statevertex and a transit 's guard see issu tfm,0
ther seem to be cas wher we do not era the profil let 's mak sur it is delet,0
for a namespac the op allcont result in a set contain al modelel contain by the namespac allcont set modelel allcont self cont wher cont self ownedel un self namespac cont,0
eulu us window styl init path do not know if thi fail in nix,0
the follow from the origin nsuml implemenet wa attempt to impl wfr from sect of the uml spec but if ther is an own set no namespac is valid the check for thi wfr if desir nee to go in setown and settyp tfm,0
ens that model subsystem impl doe not rememb the profil by chang their nam and director,0
stat access,0
but lookout it doe not work both way,0
for a pack the op allcont result in a set contain the modelel own by or import by the pack or on of it ancest allcont set modelel allcont self cont un self par allcont select e e elementown vis publ or e elementown vis protect wher the requir op ar defin a the op cont result in a set contain the modelel own by or import by the pack cont set modelel cont self ownedel un self importedel the op allimportedel result in a set contain the modelel import by the pack or on of it par allimportedel set modelel allimportedel self importedel un self par oclastyp pack allimportedel select re re elementimport vis publ or re elementimport vis protect,0
assertequ defaultoclevalu getinst evalu vt mi x ocliskindof classif tru,0
non nl,0
on a headless system without display thi wil crash,0
non nl,0
priv jpanel propertyp,0
non nl,0
contain inst of each modelel us for test so that we onl us each modelel ont,0
the next restrict for abstract seem to be argo spec not some the uml spec requir tfm ther is no nee for thes beca they ar not us by buildconnect b abstract class org eclip uml uml class class org eclip uml uml class class nul abstract class org eclip uml uml pack class org eclip uml uml pack class nul abstract class compon class interfac class nul,0
propertyp tabprop,0
non nl,0
cur thi is in thi tri block a it doe not work propertypanel alway ha siz,0
set the tooltip string,0
mak sur thi test hap on the awt ev thread,0
see org tigr gef pres fig getlinecol,0
jpanel docp pan gettab tabdocu class,0
see javax swing ev documentl removeupd javax swing ev documentev,0
the target list is empt re empt it again should not gen an ev,0
see org argouml model modelimpl getpseudostatekind,0
see junit framework testca setup,0
success,0
new target is of typ object refresh should not be cal,0
see org tigr swidget ory set ory,0
new target is a fig refresh should be cal,0
see jav util list ad int jav lang object,0
set on target should gen on ev,0
see jav lang run run,0
new target is of typ umlclassdiagram refresh should not be cal,0
handl al child of rel includ extend and includ which ar not memb of cor,0
todo we could check that the cont of the fil diff,0
not if we switch to a persist repositor lik the b tre repositor we 'll want to keep the old ext s around,0
new target is a modelel refresh should not be cal,0
success,0
test with subset of target,0
non nl,0
set sam target again should not gen new ev,0
see jav awt ev actionl actionperform jav awt ev actionev,0
tabprop get select so nd tim right,0
see junit framework testca setup,0
ad sam target list again should not gen new ev,0
see org tigr gef pres fig setfillcol jav awt col,0
ad sam target again should not gen new ev,0
end class crinterfaceoperonl,0
rev ord,0
check for mor lit ' ' sep,0
now remov on target by set subset,0
if the destin is a datatyp then reject,0
see junit framework testca setup,0
ign if the director doe not ex thi er wil throw when run from the ant setup,0
not we hav to do thi due to leftov from oth test be cau strang er when run in eclip,0
see junit framework testca setup,0
al test should consid the threshold a incl valu,0
norm the ext should ex alread but in the cas of mak an empt project we may not hav an ext yet so cre a default ext,0
thi test is a bit stupid but nevertheless,0
see org tigr gef pres fig setlinewid int,0
a a ar offend,0
remov the first prefix beca it may be an arch lik magicdraw,0
every ok,0
org argouml not provid fail beca sub pack fail \? org argouml not provid jav org argouml not provid uml org argouml not fail beca sub pack fail \? org argouml not ui,0
every ok,0
see junit framework testca setup,0
sam nam sam particip two offend,0
see org argouml uml cognit crit cruml pred jav lang object org argouml cognit design,0
sam nam diff class every ok,0
the us dropact ar ctrl shift act link ctrl act cop shift act mov non act mov,0
sam nam diff class every ok,0
see javax swing tre treemodel getchild jav lang object int,0
a a b b ar offend,0
testca drag some from ano appl into argouml and the expl show the drop icon instead of the nodrop,0
no offend,0
see jav awt ev focusl focusgain jav awt ev focusev,0
gen ar not requir to hav un nam within a namespac,0
and rememb wher we ar about to draw the new ghost im,0
al us cas and act requir assoc hent al pred eval to tru,0
see org argouml uml ui sourcepathcontrol getsourcepathset,0
build assoc build assoc between act and top us cas,0
see jav awt ev mousel mouserelea jav awt ev mouseev,0
see junit framework testca setup,0
lazil cre the ev,0
see junit framework testca setup,0
see javax man notificationbroadcast removenotificationl javax man notificationl,0
see junit framework testca setup,0
see org argouml uml cognit crit cruml getcriticizeddesignmater,0
see junit framework testca setup,0
not thi list nee to alway be act ev if thi tab is not vis,0
see junit framework testca teardown,0
see javax swing tabl tablemodel getcolumnnam int,0
see junit framework testca setup,0
see jav util list set int jav lang object,0
arbitrar set not us us for test,0
see jav util collect ad jav util collect,0
arbitrar set not us us for test,0
see jav util collect toarray jav lang object,0
the graph should stay the sam,0
see javax swing tabl tablemodel setvalu jav lang object int int,0
build includ it seem that the paramet for build includ ar just the oth way round ad an includ we do not nee to hav associt on on,0
see javax swing plaf met metalthem getprimar,0
setup,0
see jav util list subl int int,0
real test,0
see jav lang object hashcod thi is a rath bad hash solv but with the link eq object defin a below it is not poss to do bet,0
som arbitrar bound and set un in test,0
see jav awt ev actionl actionperform jav awt ev actionev,0
mak sur every cre get delet,0
see javax swing tabl tablemodel getcolumncount,0
thi nee to be a concret metatyp so we can not us the gen but abstract classif replac with it concret subtyp,0
see jav awt ev mousel mouserelea jav awt ev mouseev,0
setup the project due to it us in sourcepathtablemodel ctor,0
see javax swing plaf met metalthem getcontroltextfont,0
cre a class model el,0
the propert valu ha chang so rebuild our view see jav bean propertychangel propertychang jav bean propertychangeev,0
see abstracttestactionadddiagram getvalidnamespaceclass,0
see javax swing abstractlistmodel firecontentschang object int int,0
see testca setup,0
see javax swing plaf met metalthem getsubtextfont,0
sav the project,0
see jav awt ev actionl actionperform jav awt ev actionev,0
return a pack to us a the namespac,0
dis ev deliver dur model load,0
rest origin ev polic not support by mdr tfm mfactoryimpl seteventpolic oldeventpolic,0
mak sur we alway hav a default ext the old ext wil get delet a part of cre the new ext,0
assertnotn actionsuppl getvalu act smal icon,0
see javax swing tabl tablemodel setvalu jav lang object int int,0
cont settarget elem,0
see jav bean vetoablechangel vetoablechang jav bean propertychangeev,0
test with mor than on sint it fail with a man test i mad,0
see javax swing ev listselectionl valuechang javax swing ev listselectionev,0
assertnotn actioncl getvalu act smal icon,0
see javax swing ev documentl removeupd javax swing ev documentev,0
the follow wil bring up a dialog box so can not be run headless actioncl actionperform new actionev thi foo,0
refresh the tabl when a crit is enabled see jav util observ upd jav util observ jav lang object,0
cre a new empt project,0
see javax swing tre treemodel removetreemodel javax swing ev treemodel,0
inconcl,0
see jav awt ev mousel mouseexit jav awt ev mouseev,0
inconcl,0
see javax swing tre treemodel addtreemodel javax swing ev treemodel,0
ad the profil stereotyp to the class,0
see javax swing tre treemodel removetreemodel javax swing ev treemodel,0
ad the profil to the project config,0
us a transact to avoid the perform penalt x of mdr 's autocommit mod,0
thi work when run the test from within eclip app eclip run the test us a class load that ha the test fold among the url s,0
dis the button for now sint no select ha been mad yet,0
cre a class in the project model,0
see jav bean propertychangel propertychang jav bean propertychangeev,0
check that the tag definit is return by link umltagdefinitioncomboboxmodel getapplicabletagdefinit object,0
if we 're set a handl en the about menu item by cal com appl eawt appl reflect,0
access,0
see javax swing tre treemodel getchild jav lang object int,0
set the screen layout to what the us left it bef or to reason default,0
see jav awt ev actionl actionperform jav awt ev actionev,0
inst vary,0
autoscrol interfac the follow cod wa borrow from the book jav swing by robert eckstein marc loy dav wood paperback pag ed edit septemb o'reilli assoc isbn x the relev chapt of which can be found at,0
calcbound,0
see javax swing tre treemodel getindexofchild jav lang object jav lang object,0
for classif,0
see javax swing tre treemodel getchildcount jav lang object,0
const,0
see jav awt datatransf transf isdataflavorsupport jav awt datatransf dataflav,0
inst vary,0
see org tigr gef pres fig setfillcol jav awt col,0
cas era it,0
see org argouml cognit post stillvalid org argouml cognit todoitem org argouml cognit design,0
ev handl,0
see javax man notificationemit removenotificationl javax man notificationl javax man notificationfilt jav lang object,0
treemodel impl,0
see org tigr gef pres figedg setfig org tigr gef pres fig,0
treemodel impl,0
see javax man notificationemit removenotificationl javax man notificationl javax man notificationfilt jav lang object,0
todolistl impl,0
see jav awt datatransf transf isdataflavorsupport jav awt datatransf dataflav,0
cas aft,0
see jav bean propertychangel propertychang jav bean propertychangeev,0
init the model and profil subsystem to sim a fresh argouml sess,0
see tudresd oc pars analys depthfirstadapt casealiteralcollect tudresd oc pars nod aliteralcollect,0
we hav the path provid from the build script,0
see org tigr gef pres fig setfillcol jav awt col,0
check the loc part,0
see javax man notificationbroadcast addnotificationl javax man notificationl javax man notificationfilt jav lang object,0
wait for al model subsystem ev to be del,0
see javax man notificationbroadcast removenotificationl javax man notificationl,0
wait for al awt ev to be dispatch and process,0
see org tigr gef pres fig getlinecol,0
see org tigr gef graph graphmodel getport jav lang object,0
see org tigr gef graph mutablegraphmodel canaddedg jav lang object,0
if sav did not rai an exceiv and nam ex mov nam to nam thi is the correct backup fil,0
see org tigr gef pres fig getusetraprect,0
"""""",0
see org tigr gef pres fig setlinecol jav awt col,0
thi is nul a until the first stereotyp decl is seen aft that it is non nul,0
see jav awt ev mousel mouseexit jav awt ev mouseev,0
newop setownerscop op getownerscop not nee in cas of op,0
see tudresd oc pars analys depthfirstadapt casealetexpress tudresd oc pars nod aletexpress,0
model getextensionmechanismsfactor buildtaggedvalu tagnam new string tru model getfacad getroot umlobject,0
see javax man notificationemit removenotificationl javax man notificationl javax man notificationfilt jav lang object,0
mclassifi can not be bag,0
see org argouml model modelimpl getdatatypeshelp,0
read xsltstream into a temporar fil get url for temp fil openstream from url and wrap in streamsourc,0
thi funct onl set the col of the divid lin sint that is the onl vis part and can be us to mak the divid lin inv for the top reg in a composit stat see org tigr gef pres fig setlinecol jav awt col,0
const,0
see javax man notificationemit removenotificationl javax man notificationl javax man notificationfilt jav lang object,0
inst vary,0
see jav awt ev mousel mouseclick jav awt ev mouseev,0
ev handl,0
see javax man notificationemit removenotificationl javax man notificationl javax man notificationfilt jav lang object,0
main method,0
see org tigr gef pres fig setlinewid int,0
if the object doe not hav a nam than no problem,0
see org tigr gef pres fig setlinewid int,0
tre valu isselect dont want a col background isexpand isleaf row not import for rend hasfocu dont want a focu rectangl,0
onl work for associatin,0
we nee to find the stereotyp with the nam cre and the bas class behavioralf in the model if ther is non then we cre on and put it ther,0
see javax man notificationemit removenotificationl javax man notificationl javax man notificationfilt jav lang object,0
redrawm unlock redraw repairdam,0
see org tigr gef pres fig getlinewid,0
if thi composit stat is not attach to a statemachin it is not the toplevel composit stat,0
see org tigr gef pres fig setlinecol jav awt col,0
if thi wa an assoc then ther wil be relev inform to fetch out of the mod argu if it not an assoc then thes wil be pass forward harmlessl a nul,0
see org tigr gef pres fig setlinewid int,0
find select row and mak a list of the model el that ar select,0
see javax man notificationbroadcast removenotificationl javax man notificationl,0
treecellrend impl,0
see javax man notificationbroadcast addnotificationl javax man notificationl javax man notificationfilt jav lang object,0
alway fir chang in the cas some ha chang in the composit of the taggedvalu collect,0
non nl,0
build up an array list of the height of each labelcompon pair height of zero ind a proport height,0
see javax man notificationbroadcast addnotificationl javax man notificationl javax man notificationfilt jav lang object,0
cmdpast cmd new cmdpast cmd doit,0
ign highl unlik and what would we do anyway \? log it,0
stereotyp appl to the target mostl control which td but see below for oth list too,0
overrid to mak it poss to includ a statevertex in a composit stat see org tigr gef pres fig setenclosingfig org tigr gef pres fig,0
todo ad referencevalu for tag valu which hav a non primit typ,0
see tudresd oc check typ typ navigatequalif jav lang string tudresd oc check typ typ,0
ad a dec but set the crit priorit to so isrelev should stil be fal,0
non nl,0
beca the not ev get dispatch on the swing ev thread we nee to us invokeandwait to mak sur that we do not return until they 've been del,0
see javax man notificationbroadcast removenotificationl javax man notificationl,0
par is el but it ha no attribut or assoc to check checkelementcop e e,0
see tudresd oc check typ typ navigateparameterizedquer jav lang string tudresd oc check typ typ,0
extr car now not to keep an ref to the second argu,0
see javax swing tabl tablemodel iscelledit int int,0
auto cre a return mess for a cal mess,0
see tudresd oc check typ modelfacad getclassif jav lang string,0
get the sourc of the return mess,0
see jav lang object eq jav lang object,0
get the dest of the return mess,0
see tudresd oc pars analys depthfirstadapt caseafeaturecallparamet tudresd oc pars nod afeaturecallparamet,0
fig spf nul fig dpf nul fignod sfn nul fignod dfn nul,0
see tudresd oc pars analys depthfirstadapt caseaadditiveexpressiontail tudresd oc pars nod aadditiveexpressiontail,0
if the ev origin from the window wglass pan cons the ev,0
see jav lang throwabl printstacktrac jav io printwrit,0
ad gui intern stuff gui intern stuff is pan tab menu item that ar part of the gui subsystem i e a class in the org argouml ui pack thing that ar not part of the gui lik every that ha an knowledg about uml diagram cod gen rev engin cre and reg itself when that subsystem or mod is load,0
see tudresd oc pars analys depthfirstadapt caseapostfixexpressiontail tudresd oc pars nod apostfixexpressiontail,0
thi is perfectl norm and hap among oth thing within the cal to setdiagram below,0
see org argouml uml cognit crit cruml getcriticizeddesignmater,0
it through the tab panel to determin wheth they should be en,0
see org argouml cognit ui wizard doact int,0
tab addtab transl loc dialog find tab nam and loc nameloctab,0
see jav lang object clon,0
tablemodel settarget target tabl setmodel tablemodel,0
see tudresd oc pars analys depthfirstadapt outabooleanlit tudresd oc pars nod abooleanlit,0
if the cur shortcut ha not been set then the act shortcut valu is the default on,0
see javax swing plaf met metalthem getcontroltextfont,0
if the us cancel the op we do not hav to sav any,0
see jav awt ev windowl windowact jav awt ev windowev,0
gen and reg the osxadapt pass the method we wish to us a deleg for variou com appl eawt applicationl method,0
see org argouml model modelimpl getcopyhelp,0
todo no link in uml,0
see tudresd oc pars analys depthfirstadapt caseaexpressionlistorrang tudresd oc pars nod aexpressionlistorrang,0
noth we can do about veto so just ign it,0
log log level fin result x result y thet thet math pi dx dx dy dy,0
ev handl,0
see org tigr gef pres fig getlinewid,0
ev handl,0
see jav awt ev windowl windowclo jav awt ev windowev,0
fig access,0
see jav awt ev windowl windowdeact jav awt ev windowev,0
the uml object wrong end of the edg,0
test if ent is press in the bbodfield so we nee to set the target bound see jav awt ev keyl keytyp jav awt ev keyev,0
we ar go to ad the on stil valid new on in the right sequ,0
see guisettingstabinterfac handlesettingstabcancel,0
ev,0
thi is saf beca getnam alway return a string of som typ,0
if the new edg impl the mousel interfac it ha to receiv the mouserelea ev,0
see jav awt ev keyl keyrelea jav awt ev keyev,0
us feedback,0
see jav awt ev iteml itemstatechang jav awt ev itemev,0
graphfactor impl,0
see javax swing ev listselectionl valuechang javax swing ev listselectionev,0
adapt from selectionwbutton from lin cal a help method to avoid thi edg disappear if the new sourc and dest ar the sam nod,0
